"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 19:10:34 BRT 2022","Tue Jul 05 19:10:51 BRT 2022","16927","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","Movimentos","Movimentos",""
"passed","Tue Jul 05 19:15:45 BRT 2022","Tue Jul 05 19:15:59 BRT 2022","14008","","Financeiro.Sacados.Sacados","","Financeiro.Sacados.Sacados","Enderecos","Enderecos",""
"passed","Tue Jul 05 19:15:59 BRT 2022","Tue Jul 05 19:16:15 BRT 2022","15988","","Financeiro.Sacados.Sacados","","Financeiro.Sacados.Sacados","Contabilizacao","Contabilizacao",""
"passed","Tue Jul 05 19:31:38 BRT 2022","Tue Jul 05 19:31:52 BRT 2022","13998","","Financeiro.ConfiguracoesRecebimentoRecorrente.ConfiguracoesRecebimentoRecorrente","","Financeiro.ConfiguracoesRecebimentoRecorrente.ConfiguracoesRecebimentoRecorrente","NovoConfiguracoesDeRecebimentoRecorrente","NovoConfiguracoesDeRecebimentoRecorrente",""
"passed","Tue Jul 05 19:31:21 BRT 2022","Tue Jul 05 19:31:36 BRT 2022","14552","","Financeiro.FluxoDeCaixa.FluxoDeCaixa","","Financeiro.FluxoDeCaixa.FluxoDeCaixa","NovoFluxoDeCaixa","NovoFluxoDeCaixa",""
"passed","Tue Jul 05 19:11:55 BRT 2022","Tue Jul 05 19:12:13 BRT 2022","17332","","Financeiro.TransacoesCartao.TransacoesCartao","","Financeiro.TransacoesCartao.TransacoesCartao","Liquidacoes","Liquidacoes",""
"passed","Tue Jul 05 19:30:35 BRT 2022","Tue Jul 05 19:30:49 BRT 2022","14036","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","NovoHistoricos","NovoHistoricos",""
"passed","Tue Jul 05 19:28:46 BRT 2022","Tue Jul 05 19:29:03 BRT 2022","16619","","Financeiro.PlanosDePagamento.PlanosDePagamento","","Financeiro.PlanosDePagamento.PlanosDePagamento","FiltroTitulo","FiltroTitulo",""
"passed","Tue Jul 05 19:23:24 BRT 2022","Tue Jul 05 19:23:39 BRT 2022","14156","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","CarteiraDeCobranca","CarteiraDeCobranca",""
"passed","Tue Jul 05 19:19:12 BRT 2022","Tue Jul 05 19:19:27 BRT 2022","15385","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","Lancamentos","Lancamentos",""
"passed","Tue Jul 05 19:40:29 BRT 2022","Tue Jul 05 19:40:50 BRT 2022","21224","","GestaoContabil.EntidadeContabil","","GestaoContabil.EntidadeContabil","NovoEntidadeContabil","NovoEntidadeContabil",""
"passed","Tue Jul 05 19:09:03 BRT 2022","Tue Jul 05 19:09:17 BRT 2022","14517","","Financeiro.PosicaoFinanceira.PosicaoFinanceira","","Financeiro.PosicaoFinanceira.PosicaoFinanceira","NovoRegistroPosicaoFinanceira","NovoRegistroPosicaoFinanceira",""
"passed","Tue Jul 05 19:21:08 BRT 2022","Tue Jul 05 19:21:22 BRT 2022","13967","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","ConsultaHistoricoDeContatos","ConsultaHistoricoDeContatos",""
"passed","Tue Jul 05 19:21:24 BRT 2022","Tue Jul 05 19:21:39 BRT 2022","14688","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","ConsultaEnvioDeBoletos","ConsultaEnvioDeBoletos",""
"passed","Tue Jul 05 19:23:39 BRT 2022","Tue Jul 05 19:23:52 BRT 2022","13865","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","Compartilhamento","Compartilhamento",""
"passed","Tue Jul 05 19:30:20 BRT 2022","Tue Jul 05 19:30:35 BRT 2022","14733","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","ConsultaTiposDeDocumento","ConsultaTiposDeDocumento",""
"passed","Tue Jul 05 19:28:30 BRT 2022","Tue Jul 05 19:28:46 BRT 2022","16214","","Financeiro.RenegociacaoSimulacao.RenegociacaoSimulacao","","Financeiro.RenegociacaoSimulacao.RenegociacaoSimulacao","ConsultaRenegociacaoSimulacao","ConsultaRenegociacaoSimulacao",""
"passed","Tue Jul 05 19:12:42 BRT 2022","Tue Jul 05 19:12:59 BRT 2022","16831","","Financeiro.ConfiguracaoDeRepassesAutomaticos.ConfiguracaoDeRepassesAutomaticos","","Financeiro.ConfiguracaoDeRepassesAutomaticos.ConfiguracaoDeRepassesAutomaticos","InformacoesDeRepasse","InformacoesDeRepasse",""
"passed","Tue Jul 05 19:09:34 BRT 2022","Tue Jul 05 19:09:51 BRT 2022","16801","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","SaldosUtilizados","SaldosUtilizados",""
"passed","Tue Jul 05 19:27:19 BRT 2022","Tue Jul 05 19:27:35 BRT 2022","16078","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","ConsultaPlanoCentroResultado","ConsultaPlanoCentroResultado",""
"passed","Tue Jul 05 19:10:21 BRT 2022","Tue Jul 05 19:10:34 BRT 2022","13480","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","InformacoesLiquidacao","InformacoesLiquidacao",""
"passed","Tue Jul 05 19:25:19 BRT 2022","Tue Jul 05 19:25:36 BRT 2022","16477","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","Servicos","Servicos",""
"passed","Tue Jul 05 19:25:34 BRT 2022","Tue Jul 05 19:25:48 BRT 2022","14309","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","ConsultaTabelaDePrecoServicos","ConsultaTabelaDePrecoServicos",""
"passed","Tue Jul 05 19:26:36 BRT 2022","Tue Jul 05 19:26:53 BRT 2022","16848","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","ContasContabeis","ContasContabeis",""
"passed","Tue Jul 05 19:10:25 BRT 2022","Tue Jul 05 19:10:41 BRT 2022","16669","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","HistoricoDeContatos","HistoricoDeContatos",""
"passed","Tue Jul 05 19:10:08 BRT 2022","Tue Jul 05 19:10:25 BRT 2022","16563","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","AlterarSituacaoComplemento","AlterarSituacaoComplemento",""
"passed","Tue Jul 05 19:11:06 BRT 2022","Tue Jul 05 19:11:20 BRT 2022","14007","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","AlteracaoDeTitulos","AlteracaoDeTitulos",""
"passed","Tue Jul 05 19:09:17 BRT 2022","Tue Jul 05 19:09:32 BRT 2022","15189","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","FuncaoImpressaoRapida","FuncaoImpressaoRapida",""
"passed","Tue Jul 05 19:28:46 BRT 2022","Tue Jul 05 19:29:03 BRT 2022","16514","","Financeiro.PlanosDePagamento.PlanosDePagamento","","Financeiro.PlanosDePagamento.PlanosDePagamento","FiltroPessoa","FiltroPessoa",""
"passed","Tue Jul 05 19:18:12 BRT 2022","Tue Jul 05 19:18:27 BRT 2022","15193","","Financeiro.Cedentes.Cedentes","","Financeiro.Cedentes.Cedentes","AreasDeAtuacao","AreasDeAtuacao",""
"passed","Tue Jul 05 19:22:59 BRT 2022","Tue Jul 05 19:23:13 BRT 2022","13612","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","ConfiguracaoPorBancos","ConfiguracaoPorBancos",""
"passed","Tue Jul 05 19:27:26 BRT 2022","Tue Jul 05 19:27:43 BRT 2022","17758","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","ConsultaCriteriosDeRateio","ConsultaCriteriosDeRateio",""
"passed","Tue Jul 05 19:08:28 BRT 2022","Tue Jul 05 19:08:51 BRT 2022","23276","","Financeiro.Tesouraria.Tesouraria","","Financeiro.Tesouraria.Tesouraria","ConsultaRegistroTesouraria","ConsultaRegistroTesouraria",""
"passed","Tue Jul 05 19:24:20 BRT 2022","Tue Jul 05 19:24:32 BRT 2022","12372","","Financeiro.CondicaoDeRecebimento.CondicaoDeRecebimento","","Financeiro.CondicaoDeRecebimento.CondicaoDeRecebimento","NovoCondicaoDeRecebimento","NovoCondicaoDeRecebimento",""
"passed","Tue Jul 05 19:23:52 BRT 2022","Tue Jul 05 19:24:04 BRT 2022","11800","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","ConsultaBancos","ConsultaBancos",""
"passed","Tue Jul 05 19:15:45 BRT 2022","Tue Jul 05 19:15:59 BRT 2022","14157","","Financeiro.Sacados.Sacados","","Financeiro.Sacados.Sacados","Historico","Historico",""
"passed","Tue Jul 05 19:18:16 BRT 2022","Tue Jul 05 19:18:32 BRT 2022","16612","","Financeiro.Cedentes.Cedentes","","Financeiro.Cedentes.Cedentes","DocumentosDeHabilitacao","DocumentosDeHabilitacao",""
"passed","Tue Jul 05 19:18:46 BRT 2022","Tue Jul 05 19:18:59 BRT 2022","13556","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","ImportarExtrato","ImportarExtrato",""
"passed","Tue Jul 05 19:17:18 BRT 2022","Tue Jul 05 19:17:33 BRT 2022","15134","","Financeiro.Cedentes.Cedentes","","Financeiro.Cedentes.Cedentes","InfComplementares","InfComplementares",""
"passed","Tue Jul 05 19:31:05 BRT 2022","Tue Jul 05 19:31:21 BRT 2022","16141","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","NovoTiposDePagamento","NovoTiposDePagamento",""
"passed","Tue Jul 05 19:20:23 BRT 2022","Tue Jul 05 19:20:43 BRT 2022","20098","","Financeiro.Cobranca.Cobranca","","Financeiro.Cobranca.Cobranca","Renegociacao","Renegociacao",""
"passed","Tue Jul 05 19:29:17 BRT 2022","Tue Jul 05 19:29:33 BRT 2022","15395","","Financeiro.PlanosDePagamento.PlanosDePagamento","","Financeiro.PlanosDePagamento.PlanosDePagamento","Permissoes","Permissoes",""
"passed","Tue Jul 05 19:18:46 BRT 2022","Tue Jul 05 19:18:59 BRT 2022","12772","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","Conciliacao","Conciliacao",""
"passed","Tue Jul 05 19:22:04 BRT 2022","Tue Jul 05 19:22:17 BRT 2022","13740","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","NovoOcorrenciaBancaria","NovoOcorrenciaBancaria",""
"passed","Tue Jul 05 19:17:17 BRT 2022","Tue Jul 05 19:17:31 BRT 2022","14012","","Financeiro.Cedentes.Cedentes","","Financeiro.Cedentes.Cedentes","Geral","Geral",""
"passed","Tue Jul 05 19:14:19 BRT 2022","Tue Jul 05 19:14:35 BRT 2022","15894","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","NovoRegistroRetorno","NovoRegistroRetorno",""
"passed","Tue Jul 05 19:21:50 BRT 2022","Tue Jul 05 19:22:03 BRT 2022","13287","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","ChequesProprios","ChequesProprios",""
"passed","Tue Jul 05 19:22:06 BRT 2022","Tue Jul 05 19:22:21 BRT 2022","15007","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","Configuracoes","Configuracoes",""
"passed","Tue Jul 05 19:26:18 BRT 2022","Tue Jul 05 19:26:36 BRT 2022","18686","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","","Financeiro.EstruturaFinanceira.EstruturaFinanceira","CriteriosCentroResultado","CriteriosCentroResultado",""
"passed","Tue Jul 05 19:22:17 BRT 2022","Tue Jul 05 19:22:30 BRT 2022","13056","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","ConsultaCarteirasDeCobranca","ConsultaCarteirasDeCobranca",""
"passed","Tue Jul 05 19:20:55 BRT 2022","Tue Jul 05 19:21:08 BRT 2022","13265","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","ImpressaoRapida","ImpressaoRapida",""
"passed","Tue Jul 05 19:14:57 BRT 2022","Tue Jul 05 19:15:13 BRT 2022","15817","","Financeiro.PagamentoAutomatizado.PagamentoAutomatizado","","Financeiro.PagamentoAutomatizado.PagamentoAutomatizado","ItensOutrosMovimentos","ItensOutrosMovimentos",""
"passed","Tue Jul 05 19:22:47 BRT 2022","Tue Jul 05 19:22:59 BRT 2022","12429","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","ConsultaInstrucoesDeCobranca","ConsultaInstrucoesDeCobranca",""
"passed","Tue Jul 05 19:10:51 BRT 2022","Tue Jul 05 19:11:06 BRT 2022","15253","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","AtualizacaoDeTitulos","AtualizacaoDeTitulos",""
"passed","Tue Jul 05 19:28:30 BRT 2022","Tue Jul 05 19:28:45 BRT 2022","14988","","Financeiro.RenegociacaoSimulacao.RenegociacaoSimulacao","","Financeiro.RenegociacaoSimulacao.RenegociacaoSimulacao","NovoRenegociacaoSimulacao","NovoRenegociacaoSimulacao",""
"passed","Tue Jul 05 19:22:35 BRT 2022","Tue Jul 05 19:22:47 BRT 2022","11897","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","NovoCarteirasDeCobranca","NovoCarteirasDeCobranca",""
"passed","Tue Jul 05 19:15:30 BRT 2022","Tue Jul 05 19:15:45 BRT 2022","15051","","Financeiro.Sacados.Sacados","","Financeiro.Sacados.Sacados","ConsultaRegistroSacados","ConsultaRegistroSacados",""
"passed","Tue Jul 05 19:10:03 BRT 2022","Tue Jul 05 19:10:21 BRT 2022","17526","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","Geral","Geral",""
"passed","Tue Jul 05 19:13:45 BRT 2022","Tue Jul 05 19:14:02 BRT 2022","17215","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","","Financeiro.IntegracaoBancaria.IntegracaoBancaria","ItensOutrosMovimentos","ItensOutrosMovimentos",""
"passed","Tue Jul 05 19:30:49 BRT 2022","Tue Jul 05 19:31:05 BRT 2022","16157","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","NovoTiposDeContato","NovoTiposDeContato",""
"passed","Tue Jul 05 19:31:38 BRT 2022","Tue Jul 05 19:31:56 BRT 2022","18585","","Financeiro.ConfiguracoesRecebimentoRecorrente.ConfiguracoesRecebimentoRecorrente","","Financeiro.ConfiguracoesRecebimentoRecorrente.ConfiguracoesRecebimentoRecorrente","ConsultaConfiguracoesDeRecebimentoRecorrente","ConsultaConfiguracoesDeRecebimentoRecorrente",""
"passed","Tue Jul 05 19:08:28 BRT 2022","Tue Jul 05 19:09:02 BRT 2022","34686","","Financeiro.Tesouraria.Tesouraria","","Financeiro.Tesouraria.Tesouraria","NovoRegistroTesouraria","NovoRegistroTesouraria",""
